Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/POLESTAR-Ranker-Casual-Bagpack-Backpack/dp/B08421BRQ2/ref=sr_1_166?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-166,"POLESTAR Ranker 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty",₹669,4.1 out of 5 stars,"7,566"
https://www.amazon.in/ZOUK-Handmade-Leather-Handles-Multicolor/dp/B09QRYDXJH/ref=sr_1_167?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-167,ZOUK Women Laptop Bag Royal Indian Peacock Motif,"₹1,689",4.4 out of 5 stars,138
https://www.amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_168?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-168,"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap",₹700,4.2 out of 5 stars,922
https://www.amazon.in/Dynotrek-Sack-pack-Waterproof-Chromebook-DT02SCB/dp/B09DBVBYN4/ref=sr_1_169?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-169,"Dynotrek 13 14 Upto 15.6"" Inch Laptop Casual Sack-pack Rucksack Travel Backpack With USB Charging Port For Men & Women Waterproof Backpack Suitable for Chromebook DT02SCB",₹899,3.8 out of 5 stars,"1,163"
https://www.amazon.in/gp/bestsellers/shoes/1983354031/ref=sr_bs_9_1983354031_1,Lavie Women's Ushawu Satchel Bag | Ladies Purse Handbag,"₹1,099",4.1 out of 5 stars,"6,851"
https://www.amazon.in/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097JJDZ47/ref=sr_1_171?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-171,"Genie Bliss Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch)",₹999,N/A,M.R.P: 
https://www.amazon.in/Martucci-Waterproof-Backpack-College-Business/dp/B0BRJRVH6D/ref=sr_1_172?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-172,Martucci Jersey 45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,₹809,3.7 out of 5 stars,165
https://www.amazon.in/Blackpink-Backpack-Charging-Headset-College/dp/B09XMGJZH8/ref=sr_1_173?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-173,PALAY® Blackpink School Backpack for Girls School Bag with With USB Charging and Headset Port Kpop Idol Print Design Laptop Bag College School Bookbag For Boys,"₹1,598",3.9 out of 5 stars,57
https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3S5NC1/ref=sr_1_174?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-174,NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,₹630,4.0 out of 5 stars,851
https://www.amazon.in/Safari-Duffle-Travel-Luggage-Trolley/dp/B097JJXL9K/ref=sr_1_175?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-175,Safari Arc Polyester 55 Cms 2 Wheel Travel Duffel Bag (Red),"₹1,299",3.8 out of 5 stars,382
https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGGGNC/ref=sr_1_176?crid=2M096C61O4MLT&keywords=bags&qid=1690514459&sprefix=ba%2Caps%2C283&sr=8-176,"Genie Miami Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",₹799,4.2 out of 5 stars,"1,458"
https://www.amazon.in/Skybags-Unisex-Black-Jacqard-Laptop/dp/B09ZV81F6M/ref=sr_1_289?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-289,Skybags Unisex Black Jacqard 34L Laptop,"₹1,149",4.0 out of 5 stars,44
https://www.amazon.in/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBH9K2/ref=sr_1_290?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-290,FUR JADEN 15.6 Inch Smart Laptop Backpack,"₹1,329",4.1 out of 5 stars,576
https://www.amazon.in/American-Tourister-Casual-Travel-Duffle/dp/B00FRCNRPQ/ref=sr_1_291?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-291,American Tourister X -,"₹1,899",4.2 out of 5 stars,662
https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM/ref=sr_1_292?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-292,TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking,"₹2,380",4.4 out of 5 stars,"7,425"
https://www.amazon.in/Genie-Miami-litres-Casual-Backpack/dp/B07SRGQ2R4/ref=sr_1_293?crid=2M096C61O4MLT&keywords=bags&qid=1690514479&sprefix=ba%2Caps%2C283&sr=8-293,"GENIE Miami Casual Backpacks for Women, 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini",₹749,4.2 out of 5 stars,"2,202"
